Month,DayOfWeek,IsHoliday,Temperature,Humidity,SquareFootArea,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DailyConsumption_kWh,MonthlyConsumption_kWh
1,6,0,12.4,53.6,2800,7,8.5,4.3,3.2,48.73,1451.67
7,2,0,28.0,31.5,5000,7,8.0,6.5,12.6,61.58,1779.2
1,6,0,9.0,65.6,4500,2,10.3,4.2,0.0,55.72,1641.99
4,4,0,26.4,65.5,2800,2,8.9,7.4,0.0,43.58,1206.19
9,1,0,28.1,74.4,2200,5,10.4,6.2,0.0,45.87,1497.78
1,2,0,18.1,63.0,1500,4,6.2,4.3,1.5,27.46,882.26
4,3,0,20.6,43.3,1800,7,4.8,6.1,7.9,36.52,1036.22
6,1,0,26.0,29.6,3500,3,9.2,5.4,5.8,50.65,1492.96
6,1,1,24.1,62.5,3500,5,3.6,2.6,0.0,42.38,1281.53
12,1,0,16.7,38.4,1500,2,8.8,3.7,0.0,29.78,965.38
8,3,0,24.2,48.4,1800,1,7.2,4.1,2.5,31.09,965.29
1,0,0,22.3,56.6,1500,9,7.3,6.5,0.0,47.53,1435.84
7,5,0,24.1,49.8,1200,4,7.7,6.2,0.0,36.4,1065.52
1,6,0,15.2,59.8,2800,8,8.0,7.6,3.6,54.65,1661.02
7,4,0,37.1,52.3,3500,7,11.2,4.6,5.6,60.35,1830.21
3,6,0,20.7,26.0,1800,1,3.9,2.9,8.7,18.89,568.24
11,2,0,18.8,59.5,2200,7,5.4,4.4,5.0,40.06,1198.21
8,0,0,24.6,25.7,4500,2,10.6,4.1,0.3,51.41,1522.18
3,2,0,11.8,63.8,5000,3,10.1,4.1,5.8,56.97,1767.01
1,6,0,17.5,52.7,3500,1,9.2,5.1,0.0,43.78,1237.28
8,4,0,35.7,26.6,800,7,9.7,6.7,7.9,45.4,1375.88
3,3,0,16.0,45.2,1500,3,7.7,4.7,0.3,32.34,970.96
2,6,0,9.9,50.7,2200,6,10.4,6.4,3.1,50.48,1425.82
1,1,0,2.9,73.6,1500,7,13.8,7.2,0.0,58.48,1737.38
3,6,0,13.6,57.4,800,3,7.9,5.3,5.1,29.09,826.84
2,1,0,14.6,61.6,1200,2,8.9,3.5,9.5,27.9,790.53
2,3,0,22.3,71.7,4500,9,7.8,5.5,1.2,61.3,1803.75
6,6,1,32.0,48.8,3500,9,11.2,7.4,1.8,68.2,2102.03
12,0,1,16.4,69.1,1500,7,7.0,6.6,4.3,43.24,1294.53
1,0,0,12.2,67.5,1800,5,11.2,3.9,0.0,45.66,1403.33
2,2,0,12.4,42.1,1500,4,5.7,7.2,1.3,34.73,987.8
6,3,0,35.3,67.7,1800,4,8.0,4.9,0.0,41.82,1226.73
3,0,0,18.9,38.0,4500,1,7.6,3.5,3.3,45.96,1359.66
4,6,0,12.5,63.5,5000,4,9.5,5.4,0.0,60.18,1812.59
1,3,0,11.0,41.1,3500,7,8.5,3.4,6.6,54.42,1656.53
8,4,1,25.1,59.7,5000,5,6.3,6.5,0.1,61.53,1858.09
7,1,0,27.5,73.0,5000,9,7.1,7.6,0.0,68.64,2022.86
7,6,0,32.5,48.1,3500,4,7.7,3.9,8.0,45.18,1388.71
3,1,0,17.5,51.9,3500,3,7.0,5.0,0.0,42.56,1249.38
10,1,0,21.7,64.8,4500,6,3.1,6.9,3.2,47.3,1430.98
10,3,0,27.9,53.5,1500,4,10.3,3.4,0.2,37.44,1061.37
3,3,0,14.9,76.8,4500,2,8.6,3.4,0.0,51.94,1546.68
2,2,0,23.5,59.8,800,5,9.3,5.1,0.0,35.74,1095.48
12,1,0,12.1,56.2,2800,4,9.0,5.0,0.0,42.04,1265.82
1,2,0,14.4,52.8,1200,5,7.9,5.6,0.0,36.49,1057.9
7,1,1,28.7,39.5,3500,9,8.6,5.7,0.0,61.16,1859.19
7,2,0,30.6,43.1,1500,4,7.5,3.4,4.4,36.94,1073.2
12,2,0,17.1,55.8,2200,6,4.7,3.2,0.0,34.59,959.06
2,4,0,17.0,51.6,1200,4,5.2,3.4,6.0,26.47,840.59
7,2,0,26.6,42.8,800,1,6.8,5.9,0.5,26.25,742.34
8,3,0,23.9,77.7,2200,2,5.1,6.6,0.0,31.1,968.52
1,2,1,25.3,47.0,5000,6,10.0,5.5,7.5,63.1,1882.34
9,1,0,23.8,56.8,5000,8,5.4,6.9,4.2,63.61,1937.35
7,2,0,33.1,57.8,3500,9,10.4,5.0,1.0,64.99,1914.37
3,0,0,10.8,62.6,5000,4,10.2,4.8,0.0,62.34,1908.67
8,5,0,27.7,51.8,1800,6,10.5,7.0,4.0,49.64,1464.67
7,1,0,29.4,47.8,1500,3,9.9,6.0,1.3,42.94,1275.88
11,0,0,20.1,64.7,1800,9,5.9,6.2,0.0,44.75,1245.5
8,1,0,16.7,55.7,3500,8,10.7,5.6,6.2,55.46,1590.89
6,3,0,29.7,46.9,4500,1,6.1,3.4,8.5,44.31,1363.41
9,5,1,20.8,36.3,1200,2,4.2,5.3,1.2,24.03,690.91
5,5,0,27.5,45.1,2200,9,8.4,6.4,9.8,53.33,1511.63
3,3,0,13.3,41.2,2200,3,8.5,8.6,3.4,43.48,1276.32
3,5,0,14.2,47.0,5000,3,9.7,5.2,5.7,54.85,1669.72
1,3,0,12.8,59.7,1500,9,8.8,5.3,7.4,42.52,1221.76
12,0,0,10.3,64.3,2800,3,9.9,5.7,0.0,50.66,1566.43
8,4,0,26.8,73.9,2200,5,9.7,7.7,0.0,47.79,1408.92
2,1,1,9.7,51.1,1200,6,9.7,6.1,4.7,44.92,1330.27
3,3,0,9.8,64.3,1200,3,10.7,5.0,5.5,37.27,1083.23
8,1,0,33.5,56.2,1800,8,8.2,4.6,0.8,47.04,1326.6
8,0,1,23.1,68.1,1800,2,5.3,4.0,1.6,29.86,881.82
11,4,0,17.2,66.2,3500,6,8.9,6.8,0.0,54.98,1645.02
4,0,0,25.4,40.4,800,2,7.6,4.8,0.0,27.4,838.12
4,5,0,19.2,31.8,2800,9,6.9,8.9,2.9,53.56,1571.48
5,1,0,22.3,54.4,5000,6,5.0,5.7,0.0,56.17,1610.64
6,6,0,29.9,43.7,1200,9,7.9,6.6,7.2,46.54,1472.39
5,4,0,31.0,38.9,2200,4,9.6,4.6,3.9,44.57,1344.3
7,5,0,24.7,35.5,1800,3,6.5,4.1,2.5,31.68,945.93
2,4,1,14.4,59.4,1800,2,6.3,6.3,0.0,32.8,1030.28
7,5,0,22.2,68.8,4500,8,4.7,7.6,0.0,58.38,1706.46
10,0,0,20.2,52.6,2800,4,5.0,3.9,5.1,34.99,997.4
7,3,0,30.2,57.8,3500,2,8.1,4.1,0.0,45.58,1394.73
1,1,1,10.2,58.1,5000,9,8.7,4.9,0.0,69.28,2158.08
7,2,0,27.9,35.2,1500,8,11.2,6.8,3.4,52.75,1517.72
5,2,1,19.7,59.5,1200,5,8.2,6.0,1.5,36.81,1101.36
3,0,0,18.3,41.9,1500,8,7.4,5.7,11.0,42.19,1279.35
3,1,0,22.8,55.3,4500,5,10.3,4.3,0.0,54.18,1643.64
4,1,0,17.1,48.4,5000,7,6.9,8.1,3.6,61.95,1842.42
12,0,0,12.3,70.7,2200,5,9.6,7.0,0.0,45.01,1306.72
2,1,0,17.3,44.8,4500,5,7.8,2.5,1.2,50.63,1423.38
2,3,0,20.5,62.2,3500,4,7.1,6.7,0.0,45.34,1448.34
1,0,0,7.3,49.3,5000,5,8.6,5.1,9.4,62.3,1938.56
5,3,0,25.2,44.5,1800,7,6.7,4.8,2.8,40.75,1190.01
4,1,0,23.3,20.0,1500,3,5.1,6.4,7.7,27.06,809.86
11,0,0,17.5,84.4,5000,4,7.9,5.9,0.0,55.17,1624.86
10,1,0,10.9,64.1,4500,8,9.0,5.9,0.8,62.1,1846.68
2,0,0,17.3,48.3,3500,6,3.3,4.3,0.0,41.01,1220.96
3,1,0,24.8,41.5,800,8,8.2,7.3,4.2,38.83,1107.32
7,3,0,30.5,44.7,1200,2,9.3,3.3,4.8,34.76,1036.65
7,6,0,25.4,59.3,5000,9,10.7,7.1,0.0,71.6,2150.22
12,3,0,12.8,37.3,2200,7,10.3,5.8,10.9,47.87,1359.44
4,1,0,30.0,50.8,800,5,10.9,5.4,8.1,39.47,1148.8
5,0,0,30.1,71.9,5000,7,6.5,4.9,6.6,63.04,1825.05
5,2,0,28.9,37.1,800,2,10.6,5.4,6.9,35.39,1011.67
6,3,0,30.5,51.0,4500,4,8.5,3.3,3.5,59.29,1765.14
9,3,0,23.0,81.4,2200,7,5.2,7.6,0.0,39.67,1180.29
2,5,0,14.2,65.1,2800,2,3.3,4.6,0.0,32.66,970.33
5,2,0,25.6,52.2,800,8,10.0,4.8,5.3,40.95,1319.88
12,1,0,17.5,66.1,1200,5,6.5,5.2,0.0,29.19,887.07
3,6,0,24.8,50.2,3500,5,6.9,4.9,1.4,45.3,1373.74
4,0,0,27.0,68.1,1200,8,8.4,7.7,0.6,46.66,1402.6
10,5,0,15.6,52.7,2200,1,11.3,2.5,0.0,38.7,1093.64
6,1,0,29.9,26.5,5000,6,8.2,5.5,13.0,61.53,1837.92
12,4,0,18.4,55.3,2200,2,6.7,7.6,1.0,35.62,1066.42
8,6,0,31.7,40.9,1500,1,11.1,5.2,6.9,34.25,1058.33
1,3,0,11.2,56.0,2800,7,8.4,6.0,0.0,50.34,1457.96
10,4,1,35.1,54.4,3500,4,8.6,5.4,0.9,54.81,1616.44
8,3,0,23.2,66.9,4500,1,2.3,4.1,0.0,39.01,1119.08
11,3,0,13.1,67.7,1500,6,11.0,6.4,0.0,46.73,1369.52
7,4,0,31.1,53.8,1800,6,9.5,5.3,0.0,48.4,1436.37
1,6,0,23.5,59.3,1800,3,7.8,5.5,4.4,37.87,1079.94
2,4,0,11.3,44.8,1200,6,7.9,6.4,5.0,36.43,1127.82
3,1,0,16.8,28.8,3500,9,8.6,6.6,0.6,58.09,1696.03
1,5,1,18.8,60.7,1800,6,5.5,5.7,0.0,38.05,1170.27
9,5,0,25.9,64.5,1800,1,7.8,6.4,0.0,32.07,939.78
8,4,0,27.4,51.2,4500,6,8.1,7.1,3.4,60.57,1793.74
2,1,0,17.6,51.1,2800,8,9.3,7.0,1.2,58.45,1789.88
9,5,0,27.2,60.6,2800,7,9.2,7.3,4.2,51.39,1568.34
7,1,0,34.6,49.7,5000,8,8.8,7.8,5.9,71.91,2176.19
9,1,0,31.8,75.2,1800,8,10.4,4.0,5.8,47.91,1357.91
6,3,0,30.3,64.8,5000,9,8.1,10.0,0.0,69.45,2137.03
6,5,0,30.2,61.5,800,3,7.1,5.5,5.2,28.93,932.49
11,5,0,19.0,68.4,5000,7,7.7,5.3,1.5,60.42,1799.28
4,3,0,24.2,37.0,800,6,7.3,5.9,3.9,34.41,987.44
10,4,0,22.2,65.5,3500,2,4.0,3.0,0.0,37.94,1082.2
10,3,0,22.0,62.0,2800,5,5.3,5.9,0.0,40.96,1213.71
2,5,0,20.5,64.8,3500,3,7.6,4.1,0.0,42.67,1229.39
7,5,0,36.8,56.6,5000,5,11.5,5.6,0.0,71.79,2142.16
5,6,1,19.2,56.1,1800,9,7.4,6.1,0.0,47.4,1395.35
11,4,1,18.0,91.7,5000,8,10.6,4.9,0.0,69.11,2011.55
6,3,0,25.8,49.1,1500,9,9.4,3.2,1.1,45.47,1332.15
2,0,0,13.7,68.7,5000,9,8.0,6.3,0.5,68.62,2060.92
5,0,0,27.8,45.0,800,8,7.2,5.8,0.0,40.47,1171.47
10,4,0,25.0,67.0,2200,8,5.8,6.1,1.2,43.87,1298.68
4,3,0,21.5,63.8,2200,6,5.2,5.0,0.0,40.1,1241.69
9,3,0,17.4,59.4,800,6,3.9,4.6,1.7,28.26,812.42
6,1,0,24.6,70.0,800,6,4.6,5.3,0.2,31.45,900.18
2,5,0,19.1,46.9,1500,6,7.9,5.8,2.1,36.06,1085.7
1,2,0,1.7,53.5,5000,9,14.9,6.9,1.5,83.63,2559.69
5,6,0,31.3,53.2,3500,1,9.2,3.9,4.1,48.21,1464.27
9,4,0,28.3,65.6,2800,6,6.8,6.8,0.0,50.21,1474.59
6,2,1,34.9,52.2,5000,8,3.4,6.8,2.8,61.53,1814.04
10,2,0,21.1,72.9,1800,1,9.4,5.9,0.0,34.22,1003.15
12,4,0,5.8,52.1,1800,6,7.9,8.3,7.8,48.09,1426.41
7,3,0,31.9,37.0,1500,9,6.3,3.3,6.8,40.41,1323.16
5,4,0,31.7,54.4,2200,6,8.6,8.5,0.0,52.5,1579.16
10,2,0,26.2,56.6,2200,2,7.5,4.2,8.0,33.87,1096.56
6,5,0,25.9,56.5,3500,1,7.5,5.5,4.7,44.18,1362.28
5,6,0,26.4,50.3,3500,4,5.9,5.5,0.0,45.26,1243.87
11,6,0,15.6,55.2,2800,6,8.5,3.6,0.0,44.06,1298.71
9,5,0,22.3,54.1,1800,9,5.3,6.7,0.0,43.43,1299.63
6,5,0,33.2,50.3,3500,5,8.7,6.8,0.0,54.05,1628.82
11,3,0,12.6,55.7,1200,7,8.0,6.3,1.5,40.32,1212.46
8,0,0,24.9,50.1,5000,6,5.8,3.4,2.3,51.69,1473.04
2,4,0,10.1,52.7,3500,6,6.8,3.7,4.4,48.2,1366.61
12,6,0,8.4,70.3,1200,9,7.4,4.9,0.0,47.41,1420.16
9,5,1,26.7,57.3,1200,5,5.5,7.4,0.0,37.05,1093.1
5,4,0,31.2,77.8,2800,2,10.0,5.3,0.0,46.03,1438.07
7,6,1,29.2,52.6,3500,8,9.3,2.8,6.0,56.57,1697.21
10,5,0,15.2,50.9,5000,3,7.2,8.4,0.0,56.95,1742.98
1,6,0,17.8,91.4,1800,9,6.5,8.2,0.0,45.29,1387.82
10,3,1,29.6,62.5,4500,5,10.9,3.9,4.8,67.06,2008.58
5,0,0,23.1,62.6,1200,1,7.7,4.5,0.0,26.97,858.67
12,0,0,12.9,67.1,2800,4,11.6,5.0,0.0,51.4,1520.99
10,5,0,24.3,65.0,1800,9,5.8,6.7,0.0,43.06,1289.32
2,6,0,22.4,63.9,4500,1,4.1,5.4,2.8,40.59,1220.69
12,3,1,12.7,46.8,5000,8,10.5,4.8,0.7,71.97,2120.96
6,1,0,22.9,54.4,1200,8,6.5,7.8,0.0,38.6,1105.71
11,4,0,20.8,43.4,3500,9,4.5,8.5,8.8,51.34,1482.14
1,4,0,17.6,57.2,3500,9,8.0,5.8,0.0,56.64,1652.04
3,2,0,18.0,46.3,4500,6,5.5,4.7,9.3,45.63,1362.7
5,3,0,23.5,55.0,2200,5,8.1,7.9,1.7,44.96,1362.54
4,6,0,26.5,56.5,1500,7,8.6,2.4,0.8,41.46,1187.1
3,2,0,20.4,60.8,800,9,5.7,4.6,1.0,34.7,1043.4
10,5,0,18.5,60.9,1800,5,3.4,7.0,0.0,30.89,915.15
5,6,1,26.2,43.4,1500,3,5.7,7.4,1.2,39.26,1219.52
11,2,0,11.9,56.2,1200,9,11.8,5.4,2.1,49.58,1464.66
8,0,0,32.0,63.5,2800,1,12.8,8.5,0.0,46.96,1480.11
11,4,0,16.8,72.1,3500,1,12.4,1.4,0.0,46.82,1438.87
4,6,0,20.0,38.7,3500,4,7.1,7.0,13.5,42.65,1264.51
1,2,0,13.9,41.0,4500,2,5.9,5.3,6.4,43.58,1282.72
11,0,1,18.2,50.6,1200,7,9.5,5.0,1.1,42.04,1301.06
7,3,0,34.0,63.2,2800,2,9.4,6.5,0.4,47.53,1410.85
8,2,1,31.6,67.1,2800,7,7.8,5.1,0.0,52.66,1581.51
3,5,0,17.3,43.9,800,8,7.8,4.2,2.5,36.5,1072.0
6,5,0,32.4,53.7,1200,8,13.2,6.0,0.8,54.52,1610.55
2,5,0,16.9,79.5,5000,3,7.0,5.2,0.0,52.68,1525.36
7,6,0,28.1,55.7,4500,9,8.2,4.7,4.5,61.72,1913.2
8,4,0,28.4,69.6,1800,6,5.2,4.7,6.5,37.37,1103.32
6,2,1,28.3,62.0,2800,4,8.4,4.8,2.2,44.48,1340.46
6,3,0,31.2,39.1,1200,8,10.4,3.4,0.0,47.42,1444.7
5,2,1,24.3,48.4,2200,4,6.8,2.9,0.0,38.78,1224.46
8,4,0,27.2,52.9,1200,4,7.8,6.8,1.2,35.64,1044.05
1,0,0,22.9,60.6,2200,8,7.0,3.7,3.9,41.82,1150.96
10,4,0,26.2,68.5,3500,4,5.5,5.4,0.0,42.45,1277.59
4,5,0,18.6,57.4,3500,1,2.2,2.3,0.0,28.06,864.26
4,6,1,24.6,20.0,5000,6,6.9,7.9,11.6,59.15,1750.16
3,0,0,18.5,39.2,1500,8,6.3,5.4,4.1,36.34,1114.87
3,6,0,19.8,28.8,1800,3,7.5,7.0,10.4,30.16,904.82
4,5,0,22.6,54.6,5000,2,11.3,8.4,0.0,62.92,1871.79
11,1,0,23.4,62.2,4500,6,9.3,3.7,1.5,58.87,1825.78
1,4,0,15.6,62.7,3500,1,3.5,4.1,0.0,38.44,1138.77
11,4,0,17.7,47.8,4500,5,12.0,6.8,3.5,62.27,1942.66
11,3,0,22.7,67.4,5000,6,7.8,4.7,2.1,59.71,1792.79
2,2,0,16.1,66.1,1800,8,6.9,6.2,0.0,43.48,1266.97
9,0,0,26.5,39.9,2200,7,10.6,5.9,0.0,53.95,1532.74
10,6,0,23.4,39.9,5000,6,1.6,2.1,7.4,45.03,1404.49
2,0,0,14.7,57.5,3500,2,6.8,6.6,2.3,45.06,1394.76
5,3,0,26.0,72.2,1800,8,7.9,5.6,0.0,46.03,1416.7
9,3,0,23.4,75.4,2800,8,6.9,4.0,0.0,50.83,1582.7
9,6,0,22.6,61.8,800,5,9.5,7.8,0.0,36.41,1173.16
8,2,0,24.4,43.7,800,3,9.4,4.2,2.5,32.78,887.13
1,6,0,7.7,70.0,5000,8,11.4,4.7,0.0,72.55,2096.86
1,6,0,10.0,53.9,4500,5,8.7,2.8,0.0,55.73,1659.25
9,5,0,25.2,45.8,800,3,9.2,6.2,6.4,31.49,988.74
11,2,0,18.5,33.6,1200,9,5.6,6.0,1.0,34.15,1037.49
8,4,0,27.7,53.7,1800,9,9.6,3.3,1.6,50.44,1526.29
10,5,0,11.4,49.9,800,7,7.4,6.1,4.6,38.85,1145.46
9,1,0,33.1,56.2,1200,8,10.2,7.0,0.0,53.69,1572.62
7,2,0,34.9,23.1,2200,5,7.3,6.2,6.3,43.1,1288.62
3,3,0,20.0,57.0,4500,5,8.4,7.5,0.0,54.9,1635.55
3,5,0,26.6,25.8,2800,5,6.8,4.6,13.7,38.61,1138.08
2,2,0,10.7,70.6,2800,2,6.4,7.9,1.5,42.19,1294.01
5,0,0,34.5,56.9,1800,3,8.1,5.3,3.7,39.03,1170.45
12,6,0,10.7,56.7,1200,8,8.5,7.0,9.5,42.18,1285.3
12,1,0,16.1,66.8,1500,6,5.6,7.5,0.0,37.89,1131.67
3,4,0,12.3,43.3,2800,9,10.1,9.9,2.0,63.09,1923.59
6,6,0,29.0,50.9,2800,7,7.8,4.1,0.0,50.0,1450.3
2,0,0,16.8,67.0,2200,6,9.1,4.5,0.0,43.42,1238.96
12,0,0,14.4,22.9,2800,4,7.4,5.7,8.1,43.9,1301.84
3,1,0,21.2,49.6,2800,7,7.5,5.1,5.8,44.92,1382.0
5,4,1,26.4,50.4,800,4,7.6,4.2,0.0,32.71,965.0
12,3,0,12.7,57.6,2800,7,8.0,3.4,6.8,48.2,1537.53
11,5,0,15.4,76.8,2200,5,5.6,5.7,0.0,37.12,1067.75
11,4,0,21.6,45.8,4500,2,6.3,6.4,1.3,48.71,1452.58
1,2,1,11.1,51.9,5000,7,10.4,6.2,3.2,68.88,1983.76
1,0,0,18.1,36.3,2800,8,5.5,3.4,5.3,41.76,1319.3
10,2,0,27.5,75.6,1800,2,7.9,2.8,0.0,31.12,928.18
9,3,0,18.5,52.0,1500,6,5.6,5.7,2.1,35.65,963.56
7,2,0,35.1,45.4,800,4,14.1,5.0,5.5,47.54,1411.99
1,4,1,23.3,58.7,3500,5,7.3,5.0,0.0,49.71,1375.51
12,2,0,16.2,67.6,2200,1,7.6,4.7,0.0,34.05,1076.37
8,3,0,31.6,56.7,1800,6,8.2,4.9,0.0,45.18,1314.41
3,3,1,22.7,86.8,5000,8,8.3,6.0,3.3,66.42,1994.42
8,3,0,27.7,57.9,3500,2,8.0,6.9,0.1,45.02,1317.28
5,4,0,26.8,45.1,4500,1,7.6,3.7,4.7,45.33,1350.9
1,3,0,8.1,52.6,1800,9,9.7,6.6,0.6,55.21,1692.45
7,0,0,30.6,46.0,4500,2,6.7,5.3,9.2,51.1,1514.76
5,6,0,28.2,32.6,1800,8,11.2,3.1,5.4,50.53,1540.98
6,3,0,31.3,50.5,800,5,10.9,4.5,3.2,40.02,1074.01
6,2,0,33.7,59.4,4500,2,9.8,5.2,0.0,58.8,1706.71
8,5,0,25.4,45.1,800,5,7.1,8.7,10.0,30.37,913.45
9,2,0,23.6,45.3,1500,9,5.0,4.8,3.8,34.68,1008.06
2,5,0,23.6,75.7,3500,6,3.8,4.7,4.0,40.33,1262.72
9,2,1,25.3,37.9,1500,3,5.5,5.9,2.0,37.71,1168.96
12,4,0,16.0,35.2,4500,8,9.8,5.6,3.2,67.17,2076.45
11,2,0,17.7,45.5,2200,1,6.2,3.2,0.8,25.93,782.33
10,4,1,18.3,39.0,1500,9,9.0,3.3,3.1,44.74,1308.74
9,4,0,33.3,59.6,2200,9,9.6,3.1,2.8,52.47,1601.66
10,3,0,19.6,53.2,2200,4,4.7,6.7,0.0,36.36,1043.34
10,0,0,16.9,54.9,4500,8,5.8,4.3,0.8,57.02,1697.53
7,5,0,28.0,64.5,5000,3,8.6,8.9,0.0,60.08,1820.77
1,3,0,5.0,51.0,2800,6,7.6,4.8,0.0,51.98,1527.66
7,3,1,27.1,60.0,1500,8,6.3,7.0,1.9,46.11,1490.79
10,6,0,17.6,75.6,1200,9,6.1,4.2,0.0,34.76,1075.23
5,4,0,28.8,45.2,1500,8,10.0,6.1,6.4,48.59,1416.33
6,4,0,25.9,58.8,5000,9,8.0,8.0,1.8,68.42,2095.72
10,5,0,26.0,54.6,3500,4,7.9,4.9,1.8,45.64,1442.68
7,2,0,36.3,61.8,5000,1,11.5,3.5,0.0,60.02,1732.73
5,2,0,29.5,31.8,2800,7,10.6,5.1,1.9,55.59,1725.29
7,3,0,29.0,30.9,4500,4,8.5,5.1,8.2,55.03,1594.11
9,1,0,26.6,50.3,5000,1,5.6,3.6,0.9,46.53,1395.51
3,1,0,11.1,44.3,1500,3,9.3,7.8,4.7,38.8,1171.88
8,2,0,28.3,46.3,3500,7,6.5,5.7,2.7,52.41,1542.65
2,1,0,11.2,54.9,5000,3,4.8,7.2,0.0,50.51,1485.5
11,6,0,21.1,68.0,1200,1,6.4,6.7,0.3,28.77,824.58
7,2,0,41.6,45.8,3500,7,13.2,8.3,0.3,71.44,2118.89
2,4,0,17.3,47.6,2200,8,7.8,3.9,5.9,44.61,1293.56
4,3,1,13.0,48.3,4500,5,9.4,6.5,0.0,65.3,2009.09
7,0,0,28.4,41.4,1800,6,10.4,4.8,11.3,46.18,1319.23
3,3,1,18.6,43.8,800,3,4.8,5.1,0.9,25.63,849.8
2,2,0,15.5,38.1,4500,5,6.9,3.9,6.3,51.14,1528.19
11,6,1,14.7,60.2,2800,3,5.3,8.8,0.0,42.97,1194.83
10,2,0,23.1,50.7,4500,2,7.5,4.1,0.0,44.92,1382.38
7,3,1,24.4,62.3,1500,7,9.5,6.7,2.3,44.45,1316.03
1,6,0,9.7,42.0,4500,7,8.3,3.8,2.8,60.98,1775.72
8,6,0,31.8,46.0,4500,8,10.7,5.4,2.3,67.77,2017.74
3,6,1,13.4,76.8,800,1,6.7,6.7,0.0,25.82,739.76
12,5,0,17.5,48.7,1800,2,8.3,5.7,3.0,33.93,1075.83
12,2,0,8.9,57.2,3500,2,5.2,3.8,2.4,42.24,1232.07
2,1,0,23.0,42.9,800,3,9.6,4.2,0.9,32.86,926.2
3,1,1,14.5,38.8,1500,7,5.8,5.9,6.9,40.3,1177.1
5,2,0,25.0,69.2,1500,7,7.5,5.7,0.0,39.93,1153.24
11,2,0,19.5,61.4,2800,7,9.3,3.7,1.4,49.04,1519.68
8,5,0,26.4,54.1,2200,1,5.3,4.5,2.6,30.38,920.45
10,1,0,22.6,37.1,3500,2,10.0,5.0,9.1,42.85,1219.5
7,2,0,32.6,55.0,1500,8,13.7,6.7,3.0,54.98,1601.88
7,2,0,34.3,64.6,800,9,11.4,7.4,0.0,54.06,1601.76
12,5,0,18.6,73.8,1500,7,6.8,6.7,0.0,39.71,1108.38
7,5,1,29.2,58.7,4500,1,8.1,5.6,1.2,53.46,1553.95
8,3,0,28.3,38.9,2200,4,9.3,5.9,5.8,43.33,1314.49
1,5,0,24.6,63.1,1500,8,8.6,6.5,0.0,46.27,1469.76
4,0,0,26.3,60.5,4500,5,3.6,6.9,0.0,49.72,1408.9
6,1,0,24.8,28.5,2800,1,6.6,7.6,10.7,35.53,1188.6
9,3,0,26.4,41.5,1500,7,6.5,4.2,11.6,37.56,1143.67
2,0,0,13.6,68.2,2200,6,6.8,4.9,0.0,42.33,1218.85
1,2,0,13.4,69.8,800,9,6.9,7.4,0.0,40.3,1277.73
10,2,0,16.5,38.9,2800,4,4.8,3.9,4.4,34.6,1056.83
12,3,0,13.2,69.5,5000,4,11.4,3.5,2.1,61.66,1887.87
2,5,0,23.2,58.6,3500,8,5.5,4.8,2.3,44.84,1382.34
7,6,0,32.6,60.0,4500,4,9.2,5.5,3.3,62.15,1912.89
3,6,0,6.8,47.4,2800,3,9.6,4.6,0.0,47.58,1371.11
10,2,0,27.5,65.2,2200,7,6.9,6.3,0.0,46.79,1440.02
2,6,0,20.0,67.6,2800,5,7.1,5.1,0.0,43.0,1292.4
11,4,0,16.4,55.1,3500,9,6.8,5.4,0.0,55.08,1678.54
7,3,0,33.2,50.9,5000,5,10.9,3.0,0.0,63.02,1860.21
2,0,0,11.2,49.7,4500,9,12.1,6.8,3.0,70.32,2080.49
3,3,0,15.9,74.8,2200,6,5.3,6.5,0.0,37.43,1096.83
11,1,0,24.7,57.9,3500,6,7.8,5.3,2.9,52.62,1611.5
7,5,0,28.8,39.6,4500,6,8.9,5.8,2.5,58.05,1737.71
4,5,1,13.6,43.9,800,7,5.9,5.9,8.8,34.1,998.74
1,3,1,13.7,60.9,4500,4,9.5,7.0,0.0,63.21,1881.13
5,2,0,25.6,59.7,3500,4,6.9,5.7,0.0,44.92,1403.88
12,2,0,20.5,44.0,1200,9,9.3,3.9,4.1,41.65,1271.73
9,4,0,26.1,77.2,1200,7,9.5,8.6,0.0,46.9,1427.63
8,4,0,27.0,56.2,2800,6,7.8,7.5,2.9,49.25,1489.49
12,5,0,19.8,65.6,1500,1,5.9,5.2,0.0,25.33,808.13
9,4,0,26.5,53.8,800,7,11.1,5.9,0.0,44.61,1290.7
10,0,0,18.6,57.7,4500,6,5.6,6.0,0.0,55.99,1719.57
9,4,0,31.2,53.2,3500,4,9.6,4.2,0.0,50.97,1532.54
7,0,0,30.9,62.9,1800,8,8.8,7.5,0.0,50.21,1464.32
4,4,0,22.0,52.4,800,7,8.7,7.2,2.5,39.36,1179.93
5,5,0,26.8,59.9,1200,8,10.3,5.7,0.0,46.15,1372.14
1,5,0,9.2,54.1,5000,9,10.6,6.9,0.0,73.41,2217.66
1,0,0,11.6,61.7,1800,1,7.8,6.7,1.7,36.43,1133.43
3,3,0,18.0,45.4,1500,3,6.6,5.6,4.5,25.95,727.67
8,5,0,28.1,67.1,4500,2,5.7,3.7,1.4,48.52,1532.89
2,3,0,20.8,47.5,1800,3,6.6,6.3,0.0,35.66,994.17
4,2,0,23.0,48.6,3500,2,5.0,5.3,0.0,38.34,1116.88
